# DocMate Platform - System Design Documentation
# Generated on: August 8, 2025
#
# This file contains comprehensive system design documentation
# Import this into Excel and split by sections for multiple sheets

=== SYSTEM OVERVIEW ===
Component,Type,Technology,Port,Database,Description
API Gateway,Gateway,Spring Cloud Gateway,8080,N/A,Central entry point for all API requests
Auth Service,Microservice,Spring Boot,8081,PostgreSQL,Authentication and authorization service
User Service,Microservice,Spring Boot,8082,PostgreSQL,User management for patients and doctors
Admin Service,Microservice,Spring Boot,8083,PostgreSQL,Administrative operations and verification
Appointment Service,Microservice,Spring Boot,8084,PostgreSQL,Appointment booking and management
Availability Service,Microservice,Spring Boot,8085,PostgreSQL,Doctor availability management
File Service,Microservice,Spring Boot,8086,S3/LocalStack,File upload and management
Notification Service,Microservice,Spring Boot,8087,Redis,Email and notification system
Payment Service,Microservice,Spring Boot,8088,PostgreSQL,Payment processing with Stripe
Prescription Service,Microservice,Spring Boot,8089,PostgreSQL,Digital prescription management
Taxonomy Service,Microservice,Spring Boot,8090,PostgreSQL,Medical specializations and conditions
DB Migration,Utility,Liquibase,N/A,PostgreSQL,Database schema management
Common Module,Library,Spring Boot,N/A,N/A,Shared entities and utilities

=== INFRASTRUCTURE COMPONENTS ===
Component,Type,Image,Port,Purpose,Configuration
PostgreSQL,Database,postgres:15-alpine,5432,Primary database,docmate_platform database
Redis,Cache,redis:7-alpine,6379,Session management and caching,Default configuration
LocalStack,AWS Simulation,localstack/localstack,4566,S3 simulation for development,S3 service enabled
Prometheus,Monitoring,prom/prometheus,9090,Metrics collection,Custom configuration
Grafana,Monitoring,grafana/grafana,3000,Metrics visualization,Admin: admin123

=== API ENDPOINTS - AUTH SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/auth/register/patient,Register new patient,RegisterPatientRequest,AuthResponse,No
POST,/api/auth/register/doctor,Register new doctor,RegisterDoctorRequest,AuthResponse,No
POST,/api/auth/login,User login,LoginRequest,AuthResponse,No
POST,/api/auth/logout,User logout,None,Success message,Yes
POST,/api/auth/refresh,Refresh JWT token,Refresh token,AuthResponse,No
POST,/api/auth/forgot-password,Request password reset,ForgotPasswordRequest,Success message,No
POST,/api/auth/reset-password,Reset password,ResetPasswordRequest,Success message,No
GET,/api/auth/me,Get current user info,None,UserProfileResponse,Yes

=== API ENDPOINTS - USER SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
GET,/api/users/profile,Get user profile,None,UserProfileResponse,Yes
PUT,/api/users/profile,Update user profile,UpdateUserProfileRequest,UserProfileResponse,Yes
GET,/api/doctors/search,Search doctors,Query parameters,Page<DoctorSearchResponse>,No
GET,/api/doctors/{id},Get doctor details,None,DoctorDto,No
PUT,/api/doctors/profile,Update doctor profile,UpdateDoctorProfileRequest,DoctorDto,Yes (Doctor)
GET,/api/doctors/stats,Get doctor statistics,None,DoctorStatsResponse,Yes (Doctor)
GET,/api/patients/profile,Get patient profile,None,PatientDto,Yes (Patient)
PUT,/api/patients/profile,Update patient profile,UpdatePatientProfileDto,PatientDto,Yes (Patient)
GET,/api/patients/reports,Get patient reports,Pagination params,Page<PatientReportResponse>,Yes (Patient)
POST,/api/patients/reports,Upload patient report,MultipartFile,PatientReportResponse,Yes (Patient)
DELETE,/api/patients/reports/{id},Delete patient report,None,Success message,Yes (Patient)
PUT,/api/patients/medical-history,Update medical history,UpdatePatientMedicalHistoryRequest,PatientMedicalHistoryResponse,Yes (Patient)

=== API ENDPOINTS - ADMIN SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
GET,/api/admin/dashboard,Get dashboard statistics,None,DashboardStatsDto,Yes (Admin)
GET,/api/admin/verifications/pending,Get pending verifications,None,List<DoctorVerificationDto>,Yes (Admin)
GET,/api/admin/verifications/{id},Get verification details,None,DoctorVerificationDto,Yes (Admin)
POST,/api/admin/verifications/review,Review verification,VerificationReviewRequest,Success message,Yes (Admin)
GET,/api/admin/verifications,Get verifications by status,Status parameter,List<DoctorVerificationDto>,Yes (Admin)
GET,/api/admin/verifications/count,Get pending count,None,Long,Yes (Admin)

=== API ENDPOINTS - APPOINTMENT SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/appointments,Create appointment,CreateAppointmentRequest,AppointmentDto,Yes
GET,/api/appointments,Get user appointments,Pagination params,Page<AppointmentDto>,Yes
GET,/api/appointments/{id},Get appointment details,None,AppointmentDto,Yes
PUT,/api/appointments/{id}/cancel,Cancel appointment,Cancellation reason,AppointmentDto,Yes
GET,/api/appointments/upcoming,Get upcoming appointments,None,List<AppointmentDto>,Yes
